english_name,arabic_name 
Bani Sweif-New Beni Suef, بني سويف الجديدة- بني سويف
Bani Sweif- And Nasser,  ناصر- بني سويف
Bani Sweif- And bpa,  ببا- بني سويف
Bani Sweif- The fashion,  الفشّن- بني سويف
South of Sinaa-Nuweiba, نويبع- جنوب سيناء
South of Sinaa- Sharm El-Sheikh,  شرم الشيخ- جنوب سيناء
South of Sinaa- And Taba,  طابا- جنوب سيناء
South of Sinaa- And the phase,  الطور- جنوب سيناء
South of Sinaa- Dahab,  دهب- جنوب سيناء
South of Sinaa- Ras Sidr,  رأس سدر- جنوب سيناء
North Sinai-Rafah, رفح- شمال سيناء
North Sinai- And arish,  العريش- شمال سيناء
North Sinai- And good deeds,  الحسنة- شمال سيناء
North Sinai- And Sheikh Zuwayed,  الشيخ زويد- شمال سيناء
North Sinai- And sift,  نخل- شمال سيناء
Suez-Suez, السويس- السويس
Ismailia-East Bridge, القنطرة شرق- الاسماعيلية
Ismailia- Qantara west,  القنطرة غرب- الاسماعيلية
Ismailia- Ismaili,  الإسماعيلية- الاسماعيلية
Ismailia- The Big Hill,  التل الكبير- الاسماعيلية
Ismailia- And the new storytellers,  القصاصين الجديدة- الاسماعيلية
Aswan-New Aswan, أسوان الجديدة- اسوان
Aswan- And victory of Nubia,  نصر النوبة- اسوان
Aswan- And Kalabsha,  كلابشة- اسوان
Aswan- And Aswan,   أسوان- اسوان
Aswan- And bulbous,  البصيلية- اسوان
Aswan- And Abu Simbel,  أبو سمبل- اسوان
the shortest-New Luxor, الأقصر الجديدة- الاقصر
the shortest- And the ornament,  الزينية- الاقصر
the shortest- The new goodness,  طيبة الجديدة- الاقصر
the shortest- And the shortest,  الأقصر- الاقصر
the shortest- The pod,  القرنة- الاقصر
the shortest- The packages,  الطّود- الاقصر
Qena-New Qena, قنا الجديدة- قنا
Qena- And we were launched,  دشنا- قنا
Qena- Canna,  وقنا- قنا
Qena- Nag Hammadi,  نجع حمادي- قنا
Qena- And mock,  قفط- قنا
Qena- And cut,  قوص- قنا
Sohag-Sohag, سوهاج- سوهاج
Sohag- The Plena,  البلينا- سوهاج
Sohag- And Akhmim,  أخميم- سوهاج
Sohag- The New Sohag,  سوهاج الجديدة- سوهاج
Sohag- And the facility,  المنشأة- سوهاج
The Red Sea-Faga, فاجا- البحر الأحمر
The Red Sea- And the head of a garb,  رأس غارب- البحر الأحمر
The Red Sea- And Hurghada,  الغردقة- البحر الأحمر
The Red Sea- And short,  القصير- البحر الأحمر
the new Valley-Paris, باريس- الوادي الجديد
the new Valley- Farafra,  الفرافرة- الوادي الجديد
the new Valley- And a stall,  موط- الوادي الجديد
the new Valley- And out,  الخارجة- الوادي الجديد
the new Valley- And tiles,  بلاط- الوادي الجديد
Asyut-Manfalut, منفلوط- أسيوط
Asyut- And Abu Tig,  أبو تيج- أسيوط
Asyut- And New Assiut,  أسيوط الجديدة- أسيوط
Asyut- And chance,  صدفا- أسيوط
